CODIGO_DISTRITO|CODIGO_SECCION|CODIGO_CATEGORIA|CODIGO_AGRUPACION|CODIGO_LISTA|VOTOS_LISTA
01|01001|000100000000000|13|000100000000000.13.A.000100000000000.13|2380
01|01001|000100000000000|131|000100000000000.131.A.000100000000000.131|2380
01|01001|000100000000000|132|000100000000000.132.A.000100000000000.132|2380
01|01001|000100000000000|133|000100000000000.133.A.000100000000000.133|2380
01|01001|000100000000000|135|000100000000000.135.A.000100000000000.135|2380
01|01001|000100000000000|136|000100000000000.136.A.000100000000000.136|2380
01|01001|000100000000000|137|000100000000000.137.A.000100000000000.137|2380
01|01001|000100000000000|36|000100000000000.36.A.000100000000000.36|2380
01|01001|000100000000000|57|000100000000000.57.A.000100000000000.57|2380
01|01001|000100000000000|87|000100000000000.87.A.000100000000000.87|2380
01|01001|000201000000000|01-187|000201000000000.01-187.A.000201000000000.01-187|2380
01|01001|000201000000000|01-262|000201000000000.01-262.A.000201000000000.01-262|2380
01|01001|000201000000000|01-343|000201000000000.01-343.A.000201000000000.01-343|2380
01|01001|000201000000000|01-501|000201000000000.01-501.A.000201000000000.01-501|2380
01|01001|000201000000000|01-502|000201000000000.01-502.A.000201000000000.01-502|2380
01|01001|000201000000000|01-503|000201000000000.01-503.A.000201000000000.01-503|2380
01|01001|000201000000000|01-504|000201000000000.01-504.A.000201000000000.01-504|2380
01|01001|000201000000000|13|000201000000000.13.A.000201000000000.13|2380
01|01001|000201000000000|5|000201000000000.5.A.000201000000000.5|2380
01|01001|000201000000000|86|000201000000000.86.A.000201000000000.86|2380
01|01001|000201000000000|87|000201000000000.87.A.000201000000000.87|2380
01|01001|000201000000000|88|000201000000000.88.1A.000201000000000.88|2380
01|01001|000301000000000|01-187|000301000000000.01-187.A.000301000000000.01-187|2380
01|01001|000301000000000|01-262|000301000000000.01-262.A.000301000000000.01-262|2380
01|01001|000301000000000|01-343|000301000000000.01-343.A.000301000000000.01-343|2380
01|01001|000301000000000|01-501|000301000000000.01-501.A.000301000000000.01-501|2380
01|01001|000301000000000|01-502|000301000000000.01-502.A.000301000000000.01-502|2380
01|01001|000301000000000|01-503|000301000000000.01-503.A.000301000000000.01-503|2380
01|01001|000301000000000|01-504|000301000000000.01-504.A.000301000000000.01-504|2380
01|01001|000301000000000|13|000301000000000.13.A.000301000000000.13|2380
01|01001|000301000000000|5|000301000000000.5.A.000301000000000.5|2380
01|01001|000301000000000|86|000301000000000.86.A.000301000000000.86|2380
01|01001|000301000000000|87|000301000000000.87.A.000301000000000.87|2380
01|01001|000301000000000|88|000301000000000.88.1A.000301000000000.88|2380
01|01001|000501000000000|01-187|000501000000000.01-187.A.000501000000000.01-187|2415
01|01001|000501000000000|01-501|000501000000000.01-501.A.000501000000000.01-501|2415
01|01001|000501000000000|01-502|000501000000000.01-502.A.000501000000000.01-502|2415
01|01001|000501000000000|01-503|000501000000000.01-503.A.000501000000000.01-503|2415
01|01001|000501000000000|01-504|000501000000000.01-504.A.000501000000000.01-504|2415
01|01001|000501000000000|13|000501000000000.13.A.000501000000000.13|2415
01|01001|000501000000000|87|000501000000000.87.B.000501000000000.87|2415
01|01001|000501000000000|88|000501000000000.88.1A.000501000000000.88|2415
01|01001|000801000000000|01-187|000801000000000.01-187.A.000801000000000.01-187|2415
01|01001|000801000000000|01-501|000801000000000.01-501.A.000801000000000.01-501|2415
01|01001|000801000000000|01-502|000801000000000.01-502.A.000801000000000.01-502|2415
01|01001|000801000000000|01-503|000801000000000.01-503.A.000801000000000.01-503|2415
01|01001|000801000000000|01-504|000801000000000.01-504.A.000801000000000.01-504|2415
01|01001|000801000000000|13|000801000000000.13.A.000801000000000.13|2415
01|01001|000801000000000|5|000801000000000.5.A.000801000000000.5|2415
01|01001|000801000000000|87|000801000000000.87.A.000801000000000.87|2415
01|01001|000801000000000|87|000801000000000.87.B.000801000000000.87|2415
01|01001|000801000000000|88|000801000000000.88.1A.000801000000000.88|2415
01|01001|000901001000000|01-501|000901001000000.01-501.A.000901001000000.01-501|2415
01|01001|000901001000000|01-502|000901001000000.01-502.A.000901001000000.01-502|2415
01|01001|000901001000000|01-503|000901001000000.01-503.A.000901001000000.01-503|2415
01|01001|000901001000000|01-504|000901001000000.01-504.A.000901001000000.01-504|2415
01|01001|000901001000000|13|000901001000000.13.A.000901001000000.13|2415
01|01001|000901001000000|5|000901001000000.5.A.000901001000000.5|2415
01|01002|000100000000000|13|000100000000000.13.A.000100000000000.13|1911
01|01002|000100000000000|131|000100000000000.131.A.000100000000000.131|1911
01|01002|000100000000000|132|000100000000000.132.A.000100000000000.132|1911
01|01002|000100000000000|133|000100000000000.133.A.000100000000000.133|1911
01|01002|000100000000000|135|000100000000000.135.A.000100000000000.135|1911
01|01002|000100000000000|136|000100000000000.136.A.000100000000000.136|1911
01|01002|000100000000000|137|000100000000000.137.A.000100000000000.137|1911
01|01002|000100000000000|36|000100000000000.36.A.000100000000000.36|1911
01|01002|000100000000000|57|000100000000000.57.A.000100000000000.57|1911
01|01002|000100000000000|87|000100000000000.87.A.000100000000000.87|1911
01|01002|000201000000000|01-187|000201000000000.01-187.A.000201000000000.01-187|1911
01|01002|000201000000000|01-262|000201000000000.01-262.A.000201000000000.01-262|1911
01|01002|000201000000000|01-343|000201000000000.01-343.A.000201000000000.01-343|1911
01|01002|000201000000000|01-501|000201000000000.01-501.A.000201000000000.01-501|1911
01|01002|000201000000000|01-502|000201000000000.01-502.A.000201000000000.01-502|1911
01|01002|000201000000000|01-503|000201000000000.01-503.A.000201000000000.01-503|1911
01|01002|000201000000000|01-504|000201000000000.01-504.A.000201000000000.01-504|1911
01|01002|000201000000000|13|000201000000000.13.A.000201000000000.13|1911
01|01002|000201000000000|5|000201000000000.5.A.000201000000000.5|1911
01|01002|000201000000000|86|000201000000000.86.A.000201000000000.86|1911
01|01002|000201000000000|87|000201000000000.87.A.000201000000000.87|1911
01|01002|000201000000000|88|000201000000000.88.1A.000201000000000.88|1911
01|01002|000301000000000|01-187|000301000000000.01-187.A.000301000000000.01-187|1911
01|01002|000301000000000|01-262|000301000000000.01-262.A.000301000000000.01-262|1911
01|01002|000301000000000|01-343|000301000000000.01-343.A.000301000000000.01-343|1911
01|01002|000301000000000|01-501|000301000000000.01-501.A.000301000000000.01-501|1911
01|01002|000301000000000|01-502|000301000000000.01-502.A.000301000000000.01-502|1911
01|01002|000301000000000|01-503|000301000000000.01-503.A.000301000000000.01-503|1911
01|01002|000301000000000|01-504|000301000000000.01-504.A.000301000000000.01-504|1911
01|01002|000301000000000|13|000301000000000.13.A.000301000000000.13|1911
01|01002|000301000000000|5|000301000000000.5.A.000301000000000.5|1911
01|01002|000301000000000|86|000301000000000.86.A.000301000000000.86|1911
01|01002|000301000000000|87|000301000000000.87.A.000301000000000.87|1911
01|01002|000301000000000|88|000301000000000.88.1A.000301000000000.88|1911
01|01002|000501000000000|01-187|000501000000000.01-187.A.000501000000000.01-187|1911
01|01002|000501000000000|01-501|000501000000000.01-501.A.000501000000000.01-501|1911
01|01002|000501000000000|01-502|000501000000000.01-502.A.000501000000000.01-502|1911
01|01002|000501000000000|01-503|000501000000000.01-503.A.000501000000000.01-503|1911
01|01002|000501000000000|01-504|000501000000000.01-504.A.000501000000000.01-504|1911
01|01002|000501000000000|13|000501000000000.13.A.000501000000000.13|1911
01|01002|000501000000000|87|000501000000000.87.B.000501000000000.87|1911
01|01002|000501000000000|88|000501000000000.88.1A.000501000000000.88|1911
01|01002|000801000000000|01-187|000801000000000.01-187.A.000801000000000.01-187|1911
01|01002|000801000000000|01-501|000801000000000.01-501.A.000801000000000.01-501|1911
01|01002|000801000000000|01-502|000801000000000.01-502.A.000801000000000.01-502|1911
01|01002|000801000000000|01-503|000801000000000.01-503.A.000801000000000.01-503|1911
01|01002|000801000000000|01-504|000801000000000.01-504.A.000801000000000.01-504|1911
01|01002|000801000000000|13|000801000000000.13.A.000801000000000.13|1911
